Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
ACICLOVIR,Suspensión,"4 g / 100 mL o
200 mg / 5 mL",IV,ZOVIRAX,245M89 SSA,"GLAXO WELLCOME, S.A.",Antiviral.
ACICLOVIR,Crema,5 g / 100 g,IV,ZOVIRAX,039M89 SSA,"GLAXO WELLCOME, S.A.",Antiviral para el tratamiento del herpes labial.
ACICLOVIR,Tableta,200 mg  y  400 mg,IV,ZOVIRAX,115M84 SSA,"GLAXO WELLCOME, S.A.",Antiviral.
ÁCIDO ACETILSALICÍLICO,Tableta (Efervescente),500 mg,VI,ASPIRINA,88864 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Analgésico antipirético, antiinflamatorio y antiagregante plaquetario."
ÁCIDO ACETILSALICÍLICO,Tableta,100 mg,VI,ASPIRINA JUNIOR,51530 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético."
ÁCIDO ACETILSALICÍLICO,Tableta (Liberación retardada),100 mg,IV,ASPIRINA PROTECT,131M97 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Para la prevención de infarto miocárdico agudo, enfermedad vascular cerebral y angina de pecho. Prevención de trombocitopenia postquirúrgica, profilaxis de trombosis venosa profunda y tromboembolia pulmonar."
ÁCIDO ACETILSALICÍLICO,Tableta,500 mg,VI,ASPIRINA,57607 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético y antiinflamatorio."
ÁCIDO ACETILSALICÍLICO,Cápsula,500 mg,VI,ASA 500,75094 SSA,"LABORATORIOS LIOMONT, S.A. DE C.V.","Analgésico, antipirético."
ÁCIDO ACETILSALICÍLICO,Granulado,"100 mg,  160 mg   y
300 mg",IV,CORASPIR,84229 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Analgésico, antipirético, antiespasmódico.
Antiagregante plaquetario profiláctico en la enfermedad vascular de origen trombótico."
ÁCIDO ACETILSALICÍLICO / ÁCIDO CÍTRICO / ÁCIDO TARTÁRICO / BICARBONATO DE SODIO,Polvo,"0.5 g / 1.9485 g /
0.2165 g / 2.485 g",VI,PICOT PLUS,421M98 SSA,"RB SALUTE MÉXICO, S.A DE C.V.",Para el alivio temporal de las molestias gástricas y la cefalea posterior a la excesiva ingestión de alimentos y bebidas
ÁCIDO ACETIL SALICÍLICO / ATORVASTATINA / RAMIPRIL,Cápsula,"100 mg/ 20 mg / 2.5 mg;
100 mg/ 20 mg / 5 mg y
100 mg / 20 mg / 10 mg",IV,TRINOMIA,191M2019 SSA,"FERRER INTERNACIONAL, S.A.","Prevención secundaria, de accidentes cardiovasculares en aquellos pacientes en los que está indicado el uso combinado de Ácido acetilsalicílico, Atorvastatina y Ramipril."
"ÁCIDO ACETILSALICÍLICO /
CAFEÍNA (Anhidra)",Tableta,500 mg / 30 mg,VI,CAFIASPIRINA,1416 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético."
ÁCIDO ACETILSALICÍLICO / CAFEÍNA,Tableta,650 mg / 65 mg,VI,CAFIASPIRINA FORTE,90259 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Auxiliar en el tratamiento sintomático del resfriado común, analgésico y antipirético."
ÁCIDO ACETILSALICÍLICO / BICARBONATO DE SODIO / ÁCIDO CÍTRICO,Tableta (Efervescente),"0.324 g/1.976 g/1.0 g
y
0.325 g /1.7 g / 1.0 g",VI,ALKA-SELTZER,17518 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Analgésico, Antipirético, Antiácido"
"ÁCIDO ACETILSALICÍLICO /
FENILEFRINA, Bitartrato de/ CLORFENAMINA, Maleato de",Tableta (Efervescente),"324mg / 8mg / 2mg; 500mg / 8mg / 2mg y
338mg / 7.8mg / 2mg",VI,TABCIN,0119M80 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
ÁCIDO ACETILSALICÍLICO / CAPTOPRIL,Tableta,40 mg / 25 mg,IV,CAPTRAL ASA,562M2005 SSA,"LABORATORIOS SILANES, S.A. DE C.V.",Antihipertensivo (Inhibidor de E.C.A.)
ÁCIDO ACETILSALICÍLICO / DIPIRIDAMOL,Cápsula (Liberación prolongada),25 mg / 200 mg,IV,AGGRENOX,523M2001 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.","Anticoagulante, prevención del evento vascular cerebral"
"ÁCIDO ACETILSALICÍLICO/ CAFEÍNA/ ERGOTAMINA, Tartrato
de",Tableta,"400 mg / 50 mg /
1.00 mg",II,SYDOLIL,47188 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Antimigrañoso
ÁCIDO ACETILSALICÍLICO / METOCARBAMOL,Tableta,325 mg / 400 mg,VI,REMISOL PLS,538M97 SSA,"DEGORT'S CHEMICAL, S.A. DE C.V.","Relajante muscular, analgésico, antipirético."
ÁCIDO ACETILSALICÍLICO / PARACETAMOL / CAFEÍNA,Tableta,"250 mg / 250 mg /
65 mg",VI,EXCEDRIN,273M98 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.","Migraña, alivia el dolor severo y dolores leves debido a: cefalea, refriado, artritis, dolores musculares, sinusitis, dolor dental y cólico menstrual."
"ÁCIDO ACEXÁMICO
(Acexamato de calcio)",Granulado,4.740 g,IV,RECOVERON,82886 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Coadyuvante en la terapia de osificación de fracturas por osteoporosis e hipocalcemia.  Auxiliar en el tratamiento de cicatrización cutánea.
"ÁCIDO ACEXÁMICO
(Acexamato de sodio)",Crema,5 g / 100 g,IV,RECOVERON C,219M93 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Cicatrizante y regenerador tisular.
"ÁCIDO ACEXÁMICO
(Acexamato de sodio) / BROMURO DE CETRIMONIO",Crema,5 g / 1 g / 100 g,IV,DERMATOLONA,380M96 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Diversas dermatosis.
"ÁCIDO ACEXÁMICO
(Acexamato de sodio)",Ungüento,5 g / 100 g,IV,RECOVERON,81133 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Cicatrizante dérmico.
ÁCIDO ALENDRÓNICO,Comprimido,70 mg,IV,FOSAMAX,279M94 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Tratamiento y prevención de la osteoporosis en hombres y mujeres.
ÁCIDO ALENDRÓNICO / COLECALCIFEROL,Comprimido,"70 mg / 2800 UI      y
70mg / 5600 UI",IV,FOSAMAX PLUS,094M2005 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Tratamiento y prevención de la osteoporosis en hombres y mujeres.
ÁCIDO ASCÓRBICO,Tableta,250 mg,IV,FEMIPRIM,039M2006 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Restaurador de la flora vaginal.
ÁCIDO ASCÓRBICO,Tableta (Efervescente),1000 mg,VI,REDOXON,62535 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Para el tratamiento y prevención de las deficiencias de la vitamina C. Contribuye al funcionamiento del sistema inmune, prevención y tratamiento de la gripe y resfriado común, auxiliar en la curación y cicatrización de heridas, fracturas y quemaduras, promueve la absorción intestinal de hierro, participa en la defensa antioxidante del organismo."
ÁCIDO ASCÓRBICO,Comprimido (Efervescente),2 g,IV,REDOXON FORTE,65617 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Deficiencia de la Vitamina C, escorbuto y prevención de las molestias del resfriado."
ÁCIDO ASCÓRBICO,Solución (Inyectable),1 g / 10 mL,IV,REDOXON,21401 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Para deficiencia de la Vitamina C
"ÁCIDO ASCÓRBICO / METAMIZOL Sódico / BENCILPENICILINA,
Clemizol",Suspensión (Inyectable),"125 mg / 250 mg /
200 000 U
y
250 mg / 500 mg /
300 000 U",IV,ALIVIN PLUS,54045 SSA,"LABORATORIOS GROSSMAN, S.A.",Antibiótico (betalactámico) para infecciones ocasionadas por gérmenes sensibles.
ÁCIDO AZELAICO,Gel,15 g / 100 g,IV,FINACEA,090M2011 SSA,LEO PHARMA A/S,Auxiliar para el tratamiento del acné vulgar y Rosácea Pápulo Postular.
ÁCIDO BÓRICO / BORAX,Solución,2 g / 0.4 g / 100 mL,VI,LAV OFTENO,30609 SSA,"LABORATORIOS SOPHIA, S.A. DE C.V.",Antiséptico oftálmico
ÁCIDO CITRICO / ÁCIDO TARTÁRICO / BICARBONATO DE SODIO,Polvo (Efervescente),"1.9485 g / 0.2165 g /
2.4850 g",VI,SAL DE UVAS PICOT,394 SSA,"RB SALUTE MÉXICO, S.A DE C.V.",Antiácido.
ÁCIDO CLAVULÁNICO (Clavulanato de potasio) / AMOXICILINA (Trihidratada),Tableta,125 mg / 875 mg,IV,AUGMENTIN 12 H,587M97 SSA,"GLAXO WELLCOME, S.A.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
ÁCIDO CLAVULÁNICO (Clavulanato de potasio) / AMOXICILINA (Trihidratada),Suspensión,"28.5 mg / 200 mg /
5 mL y
57 mg / 400 mg /
5 mL",IV,AUGMENTIN 12 H,141M98 SSA,"GLAXO WELLCOME, S.A.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
ÁCIDO CLAVULÁNICO (Clavulanato de potasio) / AMOXICILINA (Trihidratada),Tableta,125 mg / 500 mg,IV,AUGMENTIN,068M82 SSA,"GLAXO WELLCOME, S.A.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
ÁCIDO CLAVULÁNICO (Clavulanato de potasio) / AMOXICILINA (Trihidratada),Suspensión,"42.9 mg / 600 mg /
5 mL",IV,AUGMENTIN ES 600,231M2003 SSA,"GLAXO WELLCOME, S.A.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
ÁCIDO CLAVULÁNICO (Clavulanato de potasio) / AMOXICILINA (Trihidratada),Suspensión,"(62.50 mg / 250 mg) /
5 mL y
(31.25 mg / 125 mg) / 5mL",IV,AUGMENTIN,079M84 SSA,"GLAXO WELLCOME, S.A.",Antibiótico para infecciones ocasionadas por gérmenes productores de betalactamasa.
ÁCIDO FÓLICO,Tableta,400 mcg,VI,A.F. VALDECASAS,045V2000 SSA,"LABORATORIOS VALDECASAS, S. A.",Para las deficiencias de ácido fólico
ÁCIDO FÓLICO,Tableta,"1 mg,  4 mg  y
5 mg",IV,A.F. VALDECASAS,82231 SSA,"LABORATORIOS VALDECASAS, S.A.",Antianémico y en mujeres de edad reproductiva para prevenir o disminuir el riesgo de productos con alteraciones de la formación del tubo neural como espina bífida o meningocele
ÁCIDO FÓLICO / FUMARATO FERROSO,Tableta,5 mg / 200 mg,IV,DIALELI AF,82125 SSA,"LABORATORIOS VALDECASAS, S.A.","Prevenir alteraciones en la formación y cierre del tubo neural durante el embarazo, anemia hipocrómica, hematopoyético."
ÁCIDO FÓLICO / SULFATO FERROSO ANHIDRO,Comprimido (Liberación prolongada),0.350 mg / 80 mg,IV,TARDYFERON FOL,001M2006 SSA,"PRODUCTOS FARMACÉUTICOS,
S.A. DE C.V.",Antianémico.
ÁCIDO FUSÍDICO,Crema,2 g / 100 g,IV,FUCIDIN,118M86 SSA,LEO PHARMA A/S,"Diversas dermatosis, antimicrobiano."
"ÁCIDO FUSÍDICO, hemihidratado / BETAMETASONA, Valerato de",Crema,(20 mg / 1 mg) / 1 g,IV,FUCICORT,310M96 SSA,LEO PHARMA A/S,"Antiinflamatorio esteroideo de uso tópico, antimicrobiano."
ÁCIDO IBANDRÓNICO (Ibandronato monosódico monohidratado),Tableta,150 mg,IV,BONVIVA,020M2005 SSA,"LABORATORIOS QUIMPHARMA,
S.A. DE C.V.",Tratamiento y prevención de la osteoporosis en mujeres postmenopáusicas.
ÁCIDO MEFENÁMICO,Tableta,500 mg,IV,PONSTAN 500,556M79 SSA,"PFIZER, S.A. DE C.V.","Analgésico. Para el alivio sintomático de artritis reumatoide (incluída enfermedad de Still), osteoartritis, dolor de origen muscular, traumático y dental, cefalea, dolor postoperatorio, postparto, dismenorrea primaria, menorragia y síndrome premenstrual."
"ÁCIDO MICOFENÓLICO
(Micofenolato sódico)",Tableta (Liberación retardada),180 mg  y  360 mg,IV,MYFORTIC,070M2003 SSA,NOVARTIS PHARMA AG,Coadyuvante para la profilaxis del rechazo en el trasplante renal.
"ÁCIDO MICOFENÓLICO
(Micofenolato de mofetilo)",Comprimido,500 mg,IV,CELLCEPT,292M98 SSA,F. HOFFMANN - LA ROCHE LTD.,"Auxiliar en el trasplante hepático, profilaxis de rechazo en trasplante renal, auxiliar en el trasplante de corazón."
ÁCIDO NICOTÍNICO,Tableta,100 mg  y  500 mg,IV,HIPOCOL,52608 SSA,"LABORATORIOS VALDECASAS, S.A.",Hipolipemiante.
ÁCIDO TIAPROFÉNICO,Comprimido,300 mg,IV,SURGAM 300,184M83 SSA,"DINAFARMA, S.A. DE C.V.",Tratamiento de dolor e inflamación.
ÁCIDO TIÓCTICO,Tableta,600 mg,IV,THIOCTACID 600 HR,594M2004 SSA,MADAUS GMBH,Para el tratamiento de los síntomas asociados a polineuropatía diabética periférica.
(ÁCIDO UNDECILÉNICO y UNDECILENATO DE ZINC),Suspensión,19.06 g / 100 g,VI,DESENEX AEROSOL,344M90 SSA,"DINAFARMA, S.A. DE C.V.",Antimicótico de amplio espectro.
ÁCIDO UNDECILÉNICO / UNDECILENATO DE ZINC / HIDROXITETRACLORURO DE ALUMINIO ZIRCONIO GLICINA,Crema,4 g / 10 g / 0.5 g,VI,MICOTEX,39010 SSA,"GENOMMA LABORATORIES MÉXICO,
S.A. DE C.V.",Antimicótico de amplio espectro.
ÁCIDO UNDECILÉNICO / UNDECILINATO DE ZINC / TRICLOSAN,Aerosol,"2.4 g / 20 g / 0.2 g /
100 g",VI,TING,279M90 SSA,"DINAFARMA, S.A. DE C.V.",Antimicótico de amplio espectro.
(ÁCIDO UNDECILÉNICO y UNDECILINATO DE ZINC) / TRICLOSAN,Crema,3.78 g / 0.1 g / 100 g,VI,TING,280M90 SSA,"DINAFARMA, S.A. DE C.V.",Antimicótico de amplio espectro.
(ÁCIDO UNDECILÉNICO y UNDECILINATO DE ZINC) / TRICLOSAN,Polvo,6.26 g / 0.2 g / 100 g,VI,TING,272M90 SSA,"DINAFARMA, S.A. DE C.V.",Antimicótico de amplio espectro.
ÁCIDO URSODEOXICÓLICO,Cápsula,250 mg,IV,URSOFALK,222M89 SSA,"SCHWABE MÉXICO, S.A. DE C.V.",Para la disolución de cálculos biliares y del colesterol
ÁCIDO URSODEOXICÓLICO,Tableta,500 mg,IV,URSOFALK T500,167M2018 SSA,"SCHWABE MÉXICO, S.A. DE C.V.",Para la disolución de cálculos biliares y del colesterol
ÁCIDO VALPROICO,Cápsula,250 mg,IV,DEPAKENE,0542M79 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Tratamiento de la epilepsia en caso de crisis parciales, simples/complejas y/o generalizadas, crisis de ausencia, tónicas, clónicas y mioclónicas. Tratamiento concomitante en crisis convulsivas de múltiples tipos, crisis psicomotoras y sintomáticas."
"ÁCIDO VALPROICO
(Valproato de sodio)",Solución (Inyectable),500 mg / 5 mL,IV,DEPAKENE,514M99 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Tratamiento de la epilepsia.
"ÁCIDO VALPROICO
(Valproato Semisódico)",Tableta (Liberación prolongada),250 mg  y  500 mg,IV,EPIVAL ER,487M2001 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Tratamiento de la epilepsia; para el tratamiento de los episodios maniacos asociados al trastorno bipolar y para la profilaxis de la migraña.
"ÁCIDO VALPROICO
(Valproato de sodio)",Jarabe,5 g / 100 mL,IV,DEPAKENE,0543M79 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Tratamiento de la epilepsia
"ÁCIDO VALPROICO
(Valproato Semisódico)",Cápsula (Liberación retardada),125 mg,IV,EPIVAL SPRINKLE,222M97 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Epilepsia
"ÁCIDO VALPROICO
(Valproato Semisódico)",Comprimido (Liberación retardada),250 mg  y  500 mg,IV,EPIVAL,082M87 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Tratamiento de la epilepsia; para el tratamiento de los episodios maniacos asociados al trastorno bipolar y para la profilaxis de la migraña.
"ÁCIDO ZOLEDRONICO
(Monohidratado)",Solución (Inyectable),4 mg / 5 mL,IV,ZOMETA,559M2000 SSA,NOVARTIS PHARMA AG,"Regulador del metabolismo óseo, inhibidor de resorción ósea, tratamiento de la hipercalcemia asociada a procesos neoplásicos; coadyuvante en la osteogénesis imperfecta en pacientes pediátricos."
"ÁCIDO ZOLEDRONICO
(Monohidratado)",Solución (Inyectable),5 mg / 100 mL,IV,ACLASTA,051M2006 SSA,SANDOZ GMBH,"Tratamiento y prevención de la osteoporosis en hombres y en mujeres con o sin postmenopáusia, tratamiento de la enfermedad ósea de Paget´s."
"ADEMETIONINA, 1, 4-Butandisulfato de",Solución (Inyectable),500 mg / 5mL,IV,SAMYR,044M99 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Tratamiento de la colestasis intrahepática en las fases precirrótica (hepatitis, esteatohepatitis) y cirrótica (fibrosis, insuficiencia hepática), así como en la colestasis intrahepática del embarazo."
"ADEMETIONINA, 1, 4-Butandisulfato de",Tableta,500 mg,IV,SAMYR,147M99 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Colestasis intrahepática en estados precirróticos (insuficiencia hepática, hepatitis, esteatohepatitis, fibrosis) y cirróticos.
Colestasis intrahepática de embarazo."
ADENOSINA,Solución (Inyectable),6 mg / 2 mL,IV,PISDENO,282M2005 SSA,"LABORATORIOS PISA, S.A. DE C.V.",Vasodilatador coronario. Antiarrítmico.
ALBENDAZOL,Tableta,200 mg  y  400 mg,VI,ESKAZOLE,134M92 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Para el tratamiento de las parasitosis intestinales como: Ascaris (Lombrices), Teniasis (Solitaria), Oxiuriasis, Giardiasis, entre otras."
ALBENDAZOL,Suspensión,4 g / 100 mL,VI,ZENTEL,036M82 SSA,"GRIMANN, S.A. DE C.V.","Antihelmíntico, nemátodos, cestodos, estrongiloidosis, teniasis."
ALBENDAZOL,Tableta,200 mg,VI,ZENTEL,037M82 SSA,"GRIMANN, S.A. DE C.V.","Nemátodos, céstodos, estrongiloidosis, teniasis y antihelmíntico."
ALBENDAZOL / QUINFAMIDA,Suspensión,"(400 mg /100 mg)/10 mL y
(400 mg/200 mg)/ 20 mL",VI,OXAL,431M2004 SSA,"DH FARMACÉUTICA, S.A. DE C.V.","Antiparasitario, antiamibiano intestinal."
ALBENDAZOL / QUINFAMIDA,Tableta,200 mg / 150 mg,VI,OXAL,432M2004 SSA,"GRIDIMEX, S.A. DE C.V.","Antiparasitario, antiamibiano intestinal."
ALBENDAZOL / QUINFAMIDA,Tableta,400 mg / 300 mg,VI,LOXCELL NF,188M2013 SSA,"DINAFARMA, S.A. DE C.V.",Antiparasitario. Antiamibiano intestinal.
ALBENDAZOL / QUINFAMIDA,Tableta (Masticable),200 mg / 150 mg,VI,ESKAZOLE COMPUESTO,162M2018 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antiparasitario. Antiamibiano intestinal.
ALCAFTADINA,Solución,2.5 mg / mL,IV,LASTACAFT,141M2013 SSA,ALLERGAN PRODUTOS FARMACEUTICOS LTDA,Prevención del prurito asociado a conjuntivitis alérgica.
"ALFADIHIDROERGOCRIPTINA,
Mesilato de",Tableta,10 mg  y  20 mg,IV,DIAMIN,202M96 SSA,"LABORATORIOS GROSSMAN, S.A.","Terapia de adición en la enfermedad de Parkinson, Inhibición de la lactancia hiperprolactinemia con amenorrea y galactorrea."
ALFUZOSINA,Tableta (Liberación prolongada),10 mg,IV,XATRAL OD,534M2000 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Tratamiento de la hipertrofia benigna de próstata.
ALMAGATO,Suspensión,"13.3 g / 100 mL
y
1.5 g / 15 mL",VI,ALMAX,417M2000 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.","Antiácido auxiliar en el tratamiento de úlcera duodenal, gastritis, dispepsia, hiperclorhidria, úlcera gástrica, esofagitis, hernia hiatal."
ALMAGATO,Tableta (Masticable),500 mg,VI,ALMAX,078M2001 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.","Gastritis, dispepsia, hiperclorhidria, auxiliar en el tratamiento de la úlcera duodenal, úlcera gástrica, esofagitis, hernia hiatal."
ALOGLIPTINA / PIOGLITAZONA,Tableta,"25 mg / 15 mg,
25 mg / 30 mg  y 25 mg /45 mg",IV,INCRESINA-P,077M2013,"EUROFARMA LABORATÓRIOS, S.A.",Tratamiento de la Diabetes Mellitus tipo 2
ALOPURINOL,Tableta,100 mg  y  300 mg,IV,ZYLOPRIM,86270 SSA,ASPEN PHARMA PTY LTD,Antihiperuricémico.
ALPRAZOLAM,Tableta,"0.25 mg,  0.5 mg,
1 mg   y   2 mg",II,TAFIL,259M80 SSA,"PFIZER, S.A. DE C.V.","Ansiedad, depresión, trastorno del pánico."
ALPRAZOLAM,Comprimido (Sublingual),0.5 mg,II,NEUPAX,206M2002 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Ansiolítico.
ALPRAZOLAM,Solución,0.75 mg / mL     y 75 mg / 100 mL,II,TAFIL,494M2002 SSA,"PFIZER, S.A. DE C.V.",Ansiolítico.
ALPROSTADIL,Solución (Inyectable),10 mcg  y  20 mcg,IV,CAVERJECT,332M95 SSA,"PFIZER, S.A. DE C.V.",Disfunción eréctil
"ALUMINIO, Hidróxido de / MAGNESIO, Hidróxido de / METOCLOPRAMIDA, Clorhidrato de
/  SIMETICONA",Suspensión,"3.918 g / 4.235 g /
1.188 g / 0.529 g /
100 mL",IV,PRAMIGEL,88438 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Antiflatulento, antiácido, procinético y antiemético."
"ALUMINIO, Hidróxido de / MAGNESIO, Hidróxido de / METOCLOPRAMIDA,
Monoclorhidrato de / SIMETICONA",Comprimido,"200 mg/200 mg/
10 mg/50mg",IV,PRAMIGEL,87632 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Antiflatulento, antiácido, procinético y antiemético."
"ALUMINIO, Hidróxido de / MAGNESIO, Hidróxido de / SIMETICONA",Gel,( 0.8 g/0.5 g/0.075 g) / 5 mL,VI,NOAX 3,055M82 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Antiflatulento, Antiácido."
"ALUMINIO, Hidróxido de / MAGNESIO, Hidróxido de",Suspensión,"(3.7 g, 4 g) / 100 mL",VI,MELOX,54807 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.","Auxiliar en el manejo de condiciones que cursan con hiperacidez: gastritis, ulcera péptica y gastroduodenal, pirosis gravídica, gastritis inducida por medicamentos."
"ALUMINIO, Hidróxido de / CARBONATO DE CALCIO / Alginato de MAGNESIO / Carbonato de MAGNESIO",Suspensión,"2.8 g/1.5 g/5 g/3.5 g/
100 mL",VI,MELOX NOCHE,324M90 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Antiácido
"ALUMINIO, Hidróxido de / DIMETICONA /  MAGNESIO,
Hidróxido de",Suspensión,"3.7 g / 0.50 g / 4 g /
100 mL",VI,MELOX PLUS,65515 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Antiácido y antiflatulento.
