CATALOG_KEY,PRO_NOMBRE
48,INSERCIÓN DE CUATRO O MÁS STENTS VASCULARES
49,TERAPIA CON OXIGENO SUPERSATURADO
5,OTROS PROCEDIMIENTOS CARDIOVASCULARES
50,"IMPLANTACIÓN DE MARCAPASOS DE RESINCRONIZACIÓN CARDÍACA SIN MENCIÓN DE DESFIBRILACIÓN, SISTEMA TOTAL [DRCT] [CRT-P]"
51,"IMPLANTACIÓN DE DESFIBRILADOR DE RESINCRONIZACIÓN CARDÍACA, SISTEMA TOTAL [DRCT] [CRT-D]"
52,IMPLANTACIÓN O SUSTITUCIÓN DE ELECTRODO DENTRO DEL SISTEMA VENOSO CORONARIO VENTRICULAR IZQUIERDO
53,IMPLANTACIÓN DE O SUSTITUCIÓN DE MARCAPASOS DE RESINCRONIZACIÓN CARDÍACA SÓLO GENERADOR DE PULSO [IMRC] [CRT-P]
54,"IMPLANTACIÓN O SUSTITUCIÓN DE DESFIBRILADOR DE RESINCRONIZACIÓN CARDÍACA,SÓLO DISPOSITIVO GENERADOR DE PULSO [DRC] [CRT-D]"
55,INSERCIÓN DE STENT(S) LIBERADOR DE FÁRMACO EN VASO PERIFÉRICO
56,INSERCIÓN O SUSTITUCIÓN DE SENSOR DE PRESIÓN IMPLANTABLE (ELECTRODO) PARA MONITORIZACIÓN HEMODINÁMICA INTRACARDIACA
57,IMPLANTACIÓN O SUSTITUCIÓN DE DISPOSITIVO SUBCUTÁNEO PARA MONITORIZACIÓN HEMODINÁMICA INTRACARDIACA
58,INSERCIÓN DE DISPOSITIVO PARA MONITORIZACIÓN DE PRESIÓN EN SACO INTRA-ANEURISMÁTICO (INTRAOPERATORIO)
59,MEDICIÓN DE PRESIÓN INTRAVASCULAR DE ARTERIAS CORONARIAS
6,PROCEDIMIENTOS SOBRE VASOS SANGUÍNEOS
61,ANGIOPLASTIA O ATERECTOMÍA PERCUTÁNEA DE VASO(S) PRECEREBRAL(ES) (EXTRACRANEAL(ES))
62,ANGIOPLASTIA O ATERECTOMÍA PERCUTÁNEA DE VASO(S) INTRACRANEAL(ES)
63,INSERCIÓN PERCUTÁNEA DE STENT(S) DE ARTERIA CARÓTIDA
64,INSERCIÓN PERCUTÁNEA DE STENT(S) DE OTRA ARTERIA PRECEREBRAL (EXTRACRANEAL)
65,INSERCIÓN PERCUTÁNEA DE STENT(S) VASCULAR(ES) INTRACRANEAL(ES)
66,ANGIOPLASTIA CORONARIA PERCUTÁNEA TRANSLUMINAL (ACTP) [PTCA] O ATERECTOMÍA CORONARIA
67,MEDICIÓN DE PRESIÓN INTRAVASCULAR DE ARTERIAS INTRATORÁCICAS
68,MEDICIÓN DE PRESIÓN INTRAVASCULAR DE ARTERIAS PERIFÉRICAS
69,MEDICIÓN DE PRESIÓN INTRAVASCULAR DE OTROS VASOS ESPECIFICADOS Y LOS NO ESPECIFICADOS
7,OTROS PROCEDIMIENTOS DE CADERA
70,"REVISIÓN DE SUSTITUCIÓN DE CADERA, COMPONENTES ACETABULAR Y FEMORAL"
71,"REVISIÓN DE SUSTITUCIÓN DE CADERA, COMPONENTE ACETABULAR"
72,"REVISIÓN DE SUSTITUCIÓN DE CADERA, COMPONENTE FEMORAL"
73,"REVISIÓN DE SUSTITUCIÓN DE CADERA, SÓLO ALINEADOR ACETABULAR Y/O CABEZA FEMORAL"
74,"SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, METAL SOBRE POLIETILENO"
75,"SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, METAL SOBRE METAL"
76,"SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, CERÁMICA SOBRE CERÁMICA"
77,"SUPERFICIE DE APOYO EN SUSTITUCIÓN DE CADERA, CERÁMICA SOBE POLIETILENO"
8,OTROS PROCEDIMIENTOS SOBRE RODILLA Y CADERA
80,"REVISIÓN DE SUSTITUCIÓN DE RODILLA, TOTAL (TODOS LOS COMPONENTES)"
81,"REVISIÓN DE SUSTITUCIÓN DE RODILLA, COMPONENTE TIBIAL"
82,"REVISIÓN DE SUSTITUCIÓN DE RODILLA, COMPONENTE FEMORAL"
83,"REVISIÓN DE SUSTITUCIÓN DE RODILLA, COMPONENTE ROTULIANO"
84,"REVISIÓN DE SUSTITUCIÓN TOTAL DE RODILLA, INSERCIÓN (ALINEADOR) TIBIAL"
85,"RECUBRIMIENTO TOTAL DE CADERA, ACETÁBULO Y CABEZA FEMORAL"
86,"RECUBRIMIENTO PARCIAL DE CADERA, CABEZA FEMORAL"
87,"RECUBRIMIENTO PARCIAL DE CADERA, ACETÁBULO"
9,OTROS PROCEDIMIENTOS E INTERVENCIONES
91,TRASPLANTE PROCEDENTE DE DONANTE VIVO EMPARENTADO
92,TRASPLANTE PROCEDENTE DE DONANTE VIVO NO EMPARENTADO
93,TRASPLANTE PROCEDENTE DE CADÁVER
94,MONITORIZACIÓN NEUROFISIOLÓGICA INTRAOPERATORIA
00A,PROCEDIMIENTOS ASISTIDOS POR ROBÓTICA
00A1,PROCEDIMIENTO ABIERTO ASISTIDO POR ROBÓTICA
00A2,PROCEDIMIENTO LAPAROSCÓPICO ASISTIDO POR ROBÓTICA
00A3,PROCEDIMIENTO PERCUTÁNEO ASISTIDO POR ROBÓTICA
00A4,PROCEDIMIENTO ENDOSCÓPICO ASISTIDO POR ROBÓTICA
00A5,PROCEDIMIENTO TORACOSCÓPICO ASISTIDO POR ROBÓTICA
00A9,OTRO PROCEDIMIENTO ASISTIDO POR ROBÓTICA Y EL NO ESPECIFICADO
00B,PROCEDIMIENTOS DE REHABILITACIÓN I
00B0,POTENCIALES EVOCADOS AUDITIVOS
00B1,POTENCIALES EVOCADOS SOMATOSENSORIALES
00B2,POTENCIALES EVOCADOS MOTORES
00B3,POTENCIALES EVOCADOS COGNITIVOS
00B4,LABORATORIO DE ISOCINÉTICOS
00B5,"ENTRENAMIENTO EN EL PACIENTE AMPUTADO DE MIEMBRO INFERIOR, PREPROTÉSICA"
00B6,"ENTRENAMIENTO EN EL PACIENTE AMPUTADO DE MIEMBRO INFERIOR, PROTÉSICA"
00B7,TINA DE HUBBARD
00B8,NEUROFACILITACIÓN
00B9,TENS
00C,PROCEDIMIENTOS DE REHABILITACIÓN II
00C0,EJERCICIO ISOCINÉTICO
00C1,TERAPIA CON LÁSER
00C2,FLUIDOTERAPIA
00C3,CRIOTERAPIA
00C4,CORRIENTES INTERFERENCIALES
00C5,TERAPIA OCUPACIONAL EN LESIONES DE MANO Y EXTREMIDAD SUPERIOR
00C6,TERAPIA OCUPACIONAL EN PACIENTE PEDIÁTRICO
00C7,TERAPIA OCUPACIONAL EN PACIENTE NEUROLÓGICO
00C8,TERAPIA OCUPACIONAL: ADIESTRAMIENTO EN CUIDADO Y USO DE ÓRTESIS EN PACIENTES AMPUTADOS
00C9,TERAPIA OCUPACIONAL: ADIESTRAMIENTO EN CUIDADO Y USO DE PRÓTESIS EN PACIENTES AMPUTADOS
00D,PROCEDIMIENTOS DE REHABILITACIÓN III
00D0,GESTORÍA OCUPACIONAL
00D1,TALLER DE ADIESTRAMIENTO DE ACTIVIDADES MÚLTIPLES
00D2,ANÁLISIS DE PUESTO
00D3,REACOMODO LABORAL
00D4,VALORACIÓN DE CAPACIDAD RESIDUAL PARA PUESTO ESPECÍFICO
00D5,VALORACIÓN DE FUNCIONALIDAD Y CAPACIDAD POTENCIAL PARA EL TRABAJO
00D6,REHABILITACIÓN PARA EL TRABAJO
00D7,PROYECTO MAGIA
00D8,ULTRASONIDO TERAPEÚTICO
00D9,BAÑO DE PARAFINA
0.00E+00,IRRADIACIÓN CON INFRARROJO
0.00E+00,COMPRESAS HÚMEDO CALIENTES
0.00E+00,ESTROBOSCOPÍA DE LARINGE
00F,PROCEDIMIENTOS EN CONSULTORIO I
00F0,ADMINISTRACIÓN DE INFUSIÓN DE HIERRO
00F1,AJUSTE DE APARATOS ORTOMAXILOFACIALES
00F2,APLICACIÓN DE ORGANIL ÓTICO
00F3,APLICACIÓN TÓPICA DE FLUOR
00F4,BIOPSIA DE PERINÉ
00F5,CARDIOTOCOGRAFÍA (PSS)
00F6,COLOCACIÓN DE APARATOS ORTOMAXILOFACIALES
00F7,COLOCACIÓN DE PARCHE DE CELULOSA
00F8,CONTROL DE PLACA DENTOBACTERIANA
00F9,CURACIÓN DE HERIDA
00G,PROCEDIMIENTOS EN CONSULTORIO II
00G0,DIÁLISIS ENTERAL
00G1,DRENAJE DE ABSCESO DENTARIO
00G2,ECOCARDIOGRAMA FETAL
00G3,ECOCARDIOGRAMA MATERNO
00G4,ELECTRONEUROGRAFÍA
00G5,EXTRACCIÓN DE CUERPO EXTRAÑO EN CONDUCTO AUDITIVO INTERNO
00G6,INFILTRACIÓN DE BLEOMICINA
00G7,INTERPRETACIÓN DE ELECTROCADIOGRAMA
00G8,LAVADO MECÁNICO DE CAVIDAD ORAL
00G9,PRUEBA DE DILATADORES (HEGAR)
00H,PROCEDIMIENTOS EN CONSULTORIO III
00H0,PRUEBA DE MARSHALL
00H1,PRUEBAS EPICUTÁNEAS
00H2,PUVATERAPIA
00H3,RETIRO DE TAPONAMIENTO NASAL
00H4,TIMPANOMETRÍA
00H5,TOMA DE CULTIVO DE EXUDADO DE HERIDA
00H6,TOMA DE MUESTRA DE PAPANICOLAU CERVICAL
00H7,TOMA DE MUESTRA DE TRACTO GENITAL FEMENINO
00H8,INSTALACIÓN DE SONDA VESICAL
00H9,RETIRO DE SONDA VESICAL
00I,PRUEBAS NEONATALES
00I0,TAMIZ METABÓLICO (NEONATAL)
00I1,TAMIZ AUDITIVO (NEONATAL)
00J,EXAMEN PARA COVID-19 (SARS-COV-2)
00J0,"ASPIRADO TRAQUEAL, ASPIRADO NASOFARÍNGEO O LAVADO NASAL PARA COVID-19"
00J1,BIOPSIA DE PULMÓN PARA COVID-19
00J2,TEST DE DIAGNÓSTICO RÁPIDO (CROMATOGRAFÍA) PARA COVID-19
00J3,EXAMEN MICROSCÓPICO FARÍNGEO Y NASOFARÍNGEO (HISOPADO) PARA COVID-19
00J4,LAVADO BRONQUIO ALVEOLAR PARA COVID-19
00J5,PCR (“REACCIÓN EN CADENA DE LA POLIMERASA”) (TÉCNICA) PARA COVID-19
00J6,TOMOGRAFÍA AXIAL COMPUTARIZADA (TAC) DE TÓRAX PARA COVID-19
00J8,OTRO EXAMEN ESPECIFICADO PARA COVID-19
00J9,"EXAMEN (PRUEBA) PARA (COVID-19), NO ESPECIFICADO DE OTRA MANERA"
00K,OTROS MÉTODOS ANTICONCEPTIVOS
00K1,INYECCIÓN DE HORMONA PROGESTINA
00K2,INYECCIÓN DE HORMONA ESTRÓGENO Y PROGESTERONA
00K3,PARCHE (TRANSDÉRMICO) LIBERADOR DE HORMONAS PARA ANTICONCEPCIÓN
00K8,OTRO MÉTODO ANTICONCEPTIVO ESPECIFICADO
00K9,"MÉTODO ANTICONCEPTIVO, NO ESPECIFICADO DE OTRA MANERA"
00L,REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L0,REHABILITACIÓN CON EL USO DE HIDROTERAPIA A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L1,REHABILITACIÓN CON EL USO DE MECANOTERAPIA A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L2,REHABILITACIÓN CON EL USO DE ULTRASONIDO A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L3,REHABILITACIÓN CON EL USO DE LASER A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L4,REHABILITACIÓN CON EL USO DE LUNIMOTERAPIA A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L5,REHABILITACIÓN CON EL USO DE PARAFINA POST-COVID 19 A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L6,REHABILITACIÓN CON APOYO ISOCINÉTICO O ROBÓTICOA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L7,REHABILITACIÓN DE TRASTORNOS COGNITIVOS A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L8,OTRA REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00L9,"REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, NO ESPECIFICADA"
00M,TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00M1,TERAPIA DE LENGUAJE PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00M2,TERAPIA Y REEDUCACIÓN DE LA VOZ Y DEGLUCIÓN PARA PERSONAS CON CONDICIÓN DE SALUD DE SALUD POSTERIOR A COVID-19
00M3,"TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, CON SINTOMAS AUDITIVOS"
00M4,"TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, CON SINTOMAS VESTIBULARES"
00M5,TERAPIA DE MOVIMIENTO Y PATRONES DE COORDINACIÓN MOTORA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00M6,TERAPIA Y ENTRENAMIENTO DE LAS ACTIVIDADES DE LA VIDA DIARIA BÁSICAS E INSTRUMENTALES A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00M7,TERAPIA DE EJERCICIOS FÍSICOS PARA REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00M8,OTRAS TERAPIAS PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00M9,"TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, NO ESPECIFICADA"
00N,MÉTODOS DE REHABILITACIÓN DE PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N1,ENTRENAMIENTO DE LOS MÚSCULOS INSPIRATORIOS PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N2,ESTIMULACIÓN ELÉCTRICA NEUROMUSCULAR PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N3,ASESORAMIENTO PSICOSOCIAL PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N4,EVALUACIÓN NUTRICIONAL Y ASESORAMIENTO PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N5,PROGRAMA DE ENSEÑANZA PARA REALIZAR EN CASA TERAPIA DE REHABILITACIÓN PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N6,ENTRENAMIENTO Y CAPACITACIÓN A FAMILIARES O CUIDADOR DE PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N7,ESTIMULACIÓN DE LA SENSO-PERCEPCIÓN Y LA PROPIOCEPCIÓN PARA LAS PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N8,OTROS MÉTODOS PARA REHABILITACIÓN EN PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19
00N9,"MÉTODOS DE REHABILITACIÓN DE PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, NO ESPECIFICADOS"
0,OPERACIONES SOBRE EL SISTEMA NERVIOSO (01- 05)
1,"INCISIÓN Y EXCISIÓN DE CRÁNEO, CEREBRO Y MENINGES CEREBRALES"
10,PUNCIÓN CRANEAL
101,PUNCIÓN CISTERNAL
102,PUNCIÓN VENTRICULAR A TRAVÉS DE CATÉTER PREVIAMENTE IMPLANTADO
109,OTRA PUNCIÓN CRANEAL
11,"PROCEDIMIENTOS DIAGNÓSTICOS SOBRE CRÁNEO, CEREBRO Y MENINGES CEREBRALES"
110,MONITORIZACIÓN DE LA PRESIÓN INTRACRANEAL
111,BIOPSIA CERRADA [AGUJA] [PERCUTÁNEA] DE MENINGES CEREBRALES
112,"BIOPSIA ABIERTA DE MENINGES CEREBRALES,"
113,"BIOPSIA CERRADA [AGUJA] [PERCUTÁNEA] DE CEREBRO,"
114,BIOPSIA ABIERTA DE CEREBRO
115,BIOPSIA DE CRÁNEO
116,MONITORIZACIÓN DE OXIGENACIÓN INTRACRANEAL
117,MONITORIZACIÓN DE LA TEMPERATURA DEL CEREBRO
118,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE CEREBRO Y MENINGES CEREBRALES
119,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE EL CRÁNEO
12,CRANEOTOMÍA Y CRANIECTOMÍA
121,INCISIÓN Y DRENAJE DE SENO CRANEAL
122,EXTRACCIÓN DE ELECTRODO (S) DE NEUROESTIMULADOR INTRACRANEAL
123,REAPERTURA DE CRANEOTOMÍA
124,OTRAS CRANEOTOMÍAS
125,OTRAS CRANIECTOMÍAS
126,INSERCIÓN DE CATÉTER(ES) EN CAVIDAD O TEJIDO CRANEAL
127,RETIRO DE CATÉTER(ES) DE CAVIDAD O TEJIDO CRANEAL
128,COLOCACIÓN DE CATÉTER(ES) INTRACEREBRAL(ES) A TRAVÉS DE AGUJERO(S) DE TRÉPANO
13,INCISIÓN DE CEREBRO Y MENINGES CEREBRALES
131,INCISIÓN DE MENINGES CEREBRALES
132,LOBOTOMÍA Y TRACTOMÍA
139,OTRAS INCISIONES CEREBRALES
14,OPERACIONES SOBRE TÁLAMO Y GLOBO PÁLIDO
141,OPERACIONES SOBRE TÁLAMO
142,OPERACIONES SOBRE GLOBO PÁLIDO
15,OTRAS EXCISIONES O DESTRUCCIONES DE CEREBRO Y MENINGES
151,EXCISIÓN DE LESIÓN O TEJIDO DE MENINGES CEREBRALES
152,HEMISFERECTOMIA
153,LOBECTOMIA CEREBRAL
159,OTRAS EXCISIONES O DESTRUCCIONES DE LESIÓN O TEJIDO CEREBRAL
16,EXCISIÓN DE LESIÓN CRANEAL
016X,EXCISIÓN DE LESIÓN CRANEAL
2,"OTRAS OPERACIONES SOBRE CRÁNEO, CEREBRO Y MENINGES CEREBRALES"
20,CRANEOPLASTIA
201,APERTURA DE SUTURA CRANEAL
202,ELEVACIÓN DE FRAGMENTOS DE FRACTURA DE CRÁNEO
203,FORMACIÓN DE PLIEGUE DE HUESO CRANEAL
204,INJERTO ÓSEO DE CRÁNEO
205,"COLOCACIÓN DE PLACA CRANEAL (METÁLICA, ACRÍLICA)"
206,OTRAS OSTEOPLASTIAS CRANEALES
207,EXTRACCIÓN DE PLACA CRANEAL
21,REPARACIÓN DE MENINGES CEREBRALES
211,SUTURA SIMPLE DE DURAMADRE CEREBRAL
212,OTRAS REPARACIONES DE MENINGES CEREBRALES
213,LIGADURA DE VASO MENÍNGEO
214,PLEXECTOMÍA COROIDEA
22,VENTRICULOSTOMÍA
022X,VENTRICULOSTOMÍA
23,DERIVACIÓN VENTRICULAR EXTRACRANEAL
231,DERIVACIÓN VENTRICULAR A ESTRUCTURAS EN CABEZA Y CUELLO
232,DERIVACIÓN VENTRICULAR AL APARATO CIRCULATORIO
233,DERIVACIÓN VENTRICULAR A LA CAVIDAD TORÁCICA
234,DERIVACIÓN VENTRICULAR A LA CAVIDAD Y ÓRGANOS ABDOMINALES
235,DERIVACIÓN VENTRICULAR AL APARATO URINARIO
239,OTRAS OPERACIONES PARA ESTABLECER DRENAJES DE VENTRÍCULO
24,"REVISIÓN, EXTRACCIÓN E IRRIGACIÓN DE DERIVACIÓN VENTRICULAR"
241,IRRIGACIÓN Y EXPLORACIÓN DE DERIVACIÓN VENTRICULAR
242,SUSTITUCIÓN DE DERIVACIÓN VENTRICULAR
243,EXTRACCIÓN DE DERIVACIÓN VENTRICULAR
29,"OTRAS OPERACIONES SOBRE CRÁNEO, CEREBRO Y MENINGES CEREBRALES"
291,LISIS DE ADHERENCIAS CORTICALES
292,REPARACIÓN CEREBRAL
293,IMPLANTACIÓN O SUSTITUCIÓN DE ELECTRODOS(S) DE NEUROESTIMULADOR INTRACRANEAL
294,COLOCACIÓN O SUSTITUCIÓN DE COMPÁS O DE HALO CRANEAL
295,EXTRACCIÓN DE COMPÁS O DE HALO CRANEAL
296,INSERCIÓN DE ELECTRODO ESFENOIDAL
299,"OTRA OPERACIÓN SOBRE CRÁNEO, CEREBRO Y MENINGES CEREBRALES"
3,OPERACIONES SOBRE MÉDULA ESPINAL Y ESTRUCTURAS DEL CONDUCTO ESPINAL
30,EXPLORACIÓN Y DESCOMPRESIÓN DE ESTRUCTURAS DEL CONDUCTO ESPINAL
301,EXTRACCIÓN DE CUERPO EXTRAÑO DE CONDUCTO ESPINAL
302,REAPERTURA DE SITIO DE LAMINECTOMÍA
309,OTRA EXPLORACIÓN Y DESCOMPRESIÓN DEL CONDUCTO ESPINAL
31,DIVISIÓN DE RAÍZ DE NERVIO INTRAESPINAL
031X,DIVISIÓN DE RAÍZ DE NERVIO INTRAESPINAL
32,CORDOTOMÍA
321,CORDOTOMÍA PERCUTÁNEA
329,OTRA CORDOTOMÍA
33,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LA MÉDULA ESPINAL Y ESTRUCTURAS DEL CONDUCTO ESPINAL
331,PUNCIÓN ESPINAL
332,BIOPSIA DE MÉDULA ESPINAL O MENINGES ESPINALES
339,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LA MÉDULA ESPINAL Y ESTRUCTURAS DEL CONDUCTO ESPINAL
34,EXCISIÓN O DESTRUCCIÓN DE LESIÓN DE LA MÉDULA ESPINAL O DE MENINGES ESPINALES
034X,EXCISIÓN O DESTRUCCIÓN DE LESIÓN DE LA MÉDULA ESPINAL O DE MENINGES ESPINALES
35,OPERACIONES PLÁSTICAS SOBRE ESTRUCTURAS DE LA MÉDULA ESPINAL
351,REPARACIÓN DE MININGOCELE ESPINAL
352,REPARACIÓN DE MIELOMENINGOCELE ESPINAL
353,REPARACIÓN DE FRACTURA VERTEBRAL
359,OTRAS REPARACIONES DE OPERACIONES PLÁSTICAS SOBRE ESTRUCTURAS DEL CONDUCTO ESPINAL
36,LISIS DE ADHERENCIAS DE MÉDULA ESPINAL Y RAÍCES DE NERVIOS ESPINALES
036X,LISIS DE ADHERENCIAS DE MÉDULA ESPINAL Y RAÍCES DE NERVIOS ESPINALES
37,DERIVACIÓN DE TECA ESPINAL
371,DERIVACIÓN SUBARACNOIDE-PERITONEAL ESPINAL
372,DERIVACIÓN SUBARACNOIDE-URETERAL ESPINAL
379,OTRA DERIVACIÓN DE TECA ESPINAL
38,INYECCIÓN DE AGENTE DESTRUCTIVO EN EL CONDUCTO ESPINAL
038X,INYECCIÓN DE AGENTE DESTRUCTIVO EN EL CONDUCTO ESPINAL
39,OTRAS OPERACIONES SOBRE LA MÉDULA ESPINAL Y ESTRUCTURAS DEL CONDUCTO ESPINAL
390,INSERCIÓN DE CATÉTER EN CONDUCTO ESPINAL PARA INFUSIÓN DE SUSTANCIAS TERAPÉUTICAS O PALIATIVAS
391,INYECCIÓN DE ANESTÉSICO EN EL CONDUCTO ESPINAL PARA ANALGESIA
392,INYECCIÓN DE OTRO AGENTE EN CANAL ESPINAL
393,IMPLANTACIÓN O SUSTITUCIÓN DE ELECRODO(S) DE NEUROESTIMULADOR MEDULAR
394,EXTRACCIÓN DE ELECTRODO(S) DE NEUROESTIMULADOR ESPINAL
395,PARCHE HEMÁTICO ESPINAL
396,DENERVACIÓN PERCUTÁNEA DE FACETA
397,REVISIÓN DE DERIVACIÓN DE TECA ESPINAL
398,EXTRACCIÓN DE DERIVACIÓN DE TECA ESPINAL
399,OTRA OPERACIONES SOBRE LA MÉDULA ESPINAL Y ESTRUCTURAS DEL CONDUCTO ESPINAL ESPINAL
4,OPERACIONES SOBRE NERVIOS CRANEALES Y PERIFÉRICOS
40,"INCISIÓN, DIVISIÓN Y EXCISIÓN DE NERVIOS CRANEALES Y PERIFÉRICOS"
401,EXCISIÓN DE NEUROMA ACÚSTICO
402,SECCIÓN DE NERVIO TRIGÉMINO
403,SECCIÓN APLASTAMIENTO DE OTROS NERVIOS CRANEALES Y PERIFÉRICOS
404,OTRAS INCISIONES DE NERVIOS CRANEALES Y PERIFÉRICOS
405,GANGLIONECTOMÍA DE GASSER
406,OTRAS GANGLIONECTOMÍAS CRANEALES O PERIFÉRICAS
407,OTRAS EXCISIONES O AVULSIONES DE NERVIOS CRANEALES Y PERIFÉRICOS
41,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE EL SISTEMA NERVIOSO PERIFÉRICO
411,BIOPSIA CERRADA [AGUJA] [PERCUTÁNEA] DE NERVIO O GANGLIO CRANEAL O SIMPÁTICO
412,BIOPSIA ABIERTA DE NERVIO O GANGLIO CRANEAL O PERIFÉRICO
