CATALOG_KEY,NOMBRE,ES_SUIVE_EST_EPI
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,NO
A059,"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA",NO
A06,AMEBIASIS,NO
A060,DISENTERÍA AMEBIANA AGUDA,NO
A061,AMEBIASIS INTESTINAL CRÓNICA,NO
A062,COLITIS AMEBIANA NO DISENTÉRICA,NO
A063,AMEBOMA INTESTINAL,NO
A064,ABSCESO AMEBIANO DEL HÍGADO,NO
A065,ABSCESO AMEBIANO DEL PULMÓN,NO
A066,ABSCESO AMEBIANO DEL CEREBRO,NO
A067,AMEBIASIS CUTÁNEA,NO
A068,INFECCIÓN AMEBIANA DE OTRAS LOCALIZACIONES,NO
A069,"AMEBIASIS, NO ESPECIFICADA",NO
A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,NO
A070,BALANTIDIASIS,NO
A071,GIARDIASIS [LAMBLIASIS],NO
A072,CRIPTOSPORIDIOSIS,NO
A073,ISOSPORIASIS,NO
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,NO
A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",NO
A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,NO
A080,ENTERITIS DEBIDA A ROTAVIRUS,SI
A081,GASTROENTEROPATÍA AGUDA DEBIDA AL AGENTE DE NORWALK,NO
A082,ENTERITIS DEBIDA A ADENOVIRUS,NO
A083,OTRAS ENTERITIS VIRALES,NO
A084,"INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN",NO
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,NO
A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO,NO
A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,NO
A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,NO
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,NO
A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",SI
A150,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO",SI
A151,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO",SI
A152,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE",SI
A153,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS",SI
A154,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",SI
A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",SI
A156,"PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",SI
A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",SI
A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE",SI
A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",SI
A16,"TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLÓGICA O HISTOLÓGICAMENTE",SI
A160,"TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS",SI
A161,"TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO",SI
A162,"TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",SI
A163,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",SI
A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",SI
A165,"PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",SI
A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",SI
A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCIÓN DE CONFIRMACIÓN",SI
A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",SI
A17,TUBERCULOSIS DEL SISTEMA NERVIOSO,NO
A170,MENINGITIS TUBERCULOSA,SI
A171,TUBERCULOMA MENÍNGEO,SI
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,SI
A179,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA",SI
A18,TUBERCULOSIS DE OTROS ÓRGANOS,SI
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,SI
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,SI
A182,LINFADENOPATÍA PERIFÉRICA TUBERCULOSA,SI
A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTÉRICOS",SI
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTÁNEO,SI
A185,TUBERCULOSIS DEL OJO,SI
A186,TUBERCULOSIS DEL OÍDO,SI
A187,TUBERCULOSIS DE GLÁNDULAS SUPRARRENALES,SI
A188,TUBERCULOSIS DE OTROS ÓRGANOS ESPECIFICADOS,SI
A19,TUBERCULOSIS MILIAR,SI
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,SI
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MÚLTIPLES,SI
A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",SI
A198,OTRAS TUBERCULOSIS MILIARES,SI
A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACIÓN",SI
A20,PESTE,SI
A200,PESTE BUBÓNICA,SI
A201,PESTE CELULOCUTÁNEA,SI
A202,PESTE NEUMÓNICA,SI
A203,MENINGITIS POR PESTE,SI
A207,PESTE SEPTICÉMICA,SI
A208,OTRAS FORMAS DE PESTE,SI
A209,"PESTE, NO ESPECIFICADA",SI
A21,TULAREMIA,NO
A210,TULAREMIA ULCEROGLANDULAR,NO
A211,TULAREMIA OCULOGLANDULAR,NO
A212,TULAREMIA PULMONAR,NO
A213,TULAREMIA GASTROINTESTINAL,NO
A217,TULAREMIA GENERALIZADA,NO
A218,OTRAS FORMAS DE TULAREMIA,NO
A219,"TULAREMIA, NO ESPECIFICADA",NO
A22,CARBUNCO [ÁNTRAX],NO
A220,CARBUNCO CUTÁNEO,NO
A221,CARBUNCO PULMONAR,NO
A222,CARBUNCO GASTROINTESTINAL,NO
A227,CARBUNCO SÉPTICO,NO
A228,OTRAS FORMAS DE CARBUNCO,NO
A229,"CARBUNCO, NO ESPECIFICADO",NO
A23,BRUCELOSIS,SI
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,SI
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,SI
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,SI
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,SI
A238,OTRAS BRUCELOSIS,SI
A239,"BRUCELOSIS, NO ESPECIFICADA",SI
A24,MUERMO Y MELIOIDOSIS,NO
A240,MUERMO,NO
A241,MELIOIDOSIS AGUDA Y FULMINANTE,NO
A242,MELIOIDOSIS SUBAGUDA Y CRÓNICA,NO
A243,OTRAS MELIOIDOSIS,NO
A244,"MELIOIDOSIS, NO ESPECIFICADA",NO
A25,FIEBRE POR MORDEDURA DE RATA,NO
A250,ESPIRILOSIS,NO
A251,ESTREPTOBACILOSIS,NO
A259,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",NO
A26,ERISIPELOIDE,NO
A260,ERISIPELOIDE CUTÁNEO,NO
A267,SEPSIS POR ERYSIPELOTHRIX,NO
A268,OTRAS FORMAS DE ERISIPELOIDE,NO
A269,"ERISIPELOIDE, NO ESPECIFICADA",NO
A27,LEPTOSPIROSIS,SI
A270,LEPTOSPIROSIS ICTEROHEMORRÁGICA,SI
A278,OTRAS FORMAS DE LEPTOSPIROSIS,SI
A279,"LEPTOSPIROSIS, NO ESPECIFICADA",SI
A28,"OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE",NO
A280,PASTEURELOSIS,NO
A281,ENFERMEDAD POR RASGUÑO DE GATO,NO
A282,YERSINIOSIS EXTRAINTESTINAL,NO
A288,"OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE",NO
A289,"ENFERMEDAD ZOONÓTICA BACTERIANA, SIN OTRA ESPECIFICACIÓN",NO
A30,LEPRA [ENFERMEDAD DE HANSEN],SI
A300,LEPRA INDETERMINADA,SI
A301,LEPRA TUBERCULOIDE,SI
A302,LEPRA TUBERCULOIDE LIMÍTROFE,SI
A303,LEPRA LIMÍTROFE,SI
A304,LEPRA LEPROMATOSA LIMÍTROFE,SI
A305,LEPRA LEPROMATOSA,SI
A308,OTRAS FORMAS DE LEPRA,SI
A309,"LEPRA, NO ESPECIFICADA",SI
A31,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS,NO
A310,INFECCIONES POR MICOBACTERIAS PULMONARES,NO
A311,INFECCIÓN CUTÁNEA POR MICOBACTERIAS,NO
A318,OTRAS INFECCIONES POR MICOBACTERIAS,NO
A319,"INFECCIÓN POR MICOBACTERIA, NO ESPECIFICADA",NO
A32,LISTERIOSIS,NO
A320,LISTERIOSIS CUTÁNEA,NO
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,NO
A327,SEPSIS LISTERIANA,NO
A328,OTRAS FORMAS DE LISTERIOSIS,NO
A329,"LISTERIOSIS, NO ESPECIFICADA",NO
A33X,TÉTANOS NEONATAL,SI
A34X,TÉTANOS OBSTÉTRICO,SI
A35X,OTROS TÉTANOS,SI
A36,DIFTERIA,SI
A360,DIFTERIA FARÍNGEA,SI
A361,DIFTERIA NASOFARÍNGEA,SI
A362,DIFTERIA LARÍNGEA,SI
A363,DIFTERIA CUTÁNEA,SI
A368,OTRAS DIFTERIAS,SI
A369,"DIFTERIA, NO ESPECIFICADA",SI
A37,TOS FERINA [TOS CONVULSIVA],SI
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,SI
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,SI
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,SI
A379,"TOS FERINA, NO ESPECIFICADA",SI
A38X,ESCARLATINA,NO
A39,ENFERMEDAD MENINGOCÓCICA,NO
A390,MENINGITIS MENINGOCÓCICA,SI
A391,SÍNDROME DE WATERHOUSE-FRIDERICHSEN,NO
A392,MENINGOCOCEMIA AGUDA,NO
A393,MENINGOCOCEMIA CRÓNICA,NO
A394,"MENINGOCOCEMIA, NO ESPECIFICADA",NO
A395,ENFERMEDAD CARDÍACA DEBIDA A MENINGOCOCO,NO
A398,OTRAS FORMAS DE ENFERMEDAD MENINGOCÓCICA,NO
A399,"ENFERMEDAD MENINGOCÓCICA, NO ESPECIFICADA",NO
A40,SEPSIS ESTREPTOCÓCICA,NO
A400,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO A",NO
A401,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO B",NO
A402,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO D Y ENTEROCOCO",NO
A403,SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE,SI
A408,OTRAS SEPSIS ESTREPTOCÓCICAS,NO
A409,"SEPSIS ESTREPTOCÓCICA, NO ESPECIFICADA",NO
A41,OTRAS SEPSIS,NO
A410,SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS,NO
A411,SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,NO
A412,SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,NO
A413,SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE,SI
A414,SEPSIS DEBIDA A ANAEROBIOS,NO
A415,SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,NO
A418,OTRAS SEPSIS ESPECIFICADAS,NO
A419,"SEPSIS, NO ESPECIFICADA",NO
A42,ACTINOMICOSIS,NO
A420,ACTINOMICOSIS PULMONAR,NO
A421,ACTINOMICOSIS ABDOMINAL,NO
A422,ACTINOMICOSIS CERVICOFACIAL,NO
A427,SEPSIS ACTINOMICÓTICA,NO
A428,OTRAS FORMAS DE ACTINOMICOSIS,NO
A429,"ACTINOMICOSIS, SIN OTRA ESPECIFICACIÓN",NO
A43,NOCARDIOSIS,NO
A430,NOCARDIOSIS PULMONAR,NO
A431,NOCARDIOSIS CUTÁNEA,NO
A438,OTRAS FORMAS DE NOCARDIOSIS,NO
A439,"NOCARDIOSIS, NO ESPECIFICADA",NO
A44,BARTONELOSIS,NO
A440,BARTONELOSIS SISTÉMICA,NO
A441,BARTONELOSIS CUTÁNEA Y MUCOCUTÁNEA,NO
A448,OTRAS FORMAS DE BARTONELOSIS,NO
A449,"BARTONELOSIS, NO ESPECIFICADA",NO
A46X,ERISIPELA,NO
A48,"OTRAS ENFERMEDADES BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE",NO
A480,GANGRENA GASEOSA,NO
A481,ENFERMEDAD DE LOS LEGIONARIOS,NO
A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMÓNICA (FIEBRE DE PONTIAC),NO
A483,SÍNDROME DEL CHOQUE TÓXICO,NO
A484,FIEBRE PURPÚRICA BRASILEÑA,NO
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,NO
A49,INFECCIÓN BACTERIANA DE SITIO NO ESPECIFICADO,NO
A490,"INFECCIÓN ESTAFILOCÓCICA, SITIO NO ESPECIFICADO",NO
A491,INFECCIÓN ESTREPTOCÓCICA Y ENTEROCÓCICA DE SITIO NO ESPECIFICADO,NO
A492,"INFECCIÓN POR HAEMOPHILUS INFLUENZAE, SITIO NO ESPECIFICADO",NO
A493,"INFECCIÓN POR MICOPLASMA, SITIO NO ESPECIFICADO",NO
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,NO
A499,"INFECCIÓN BACTERIANA, NO ESPECIFICADA",NO
A50,SÍFILIS CONGÉNITA,SI
A500,"SÍFILIS CONGÉNITA PRECOZ, SINTOMÁTICA",SI
A501,"SÍFILIS CONGÉNITA PRECOZ, LATENTE",SI
A502,"SÍFILIS CONGÉNITA PRECOZ, SIN OTRA ESPECIFICACIÓN",SI
A503,OCULOPATÍA SIFILÍTICA CONGÉNITA TARDÍA,SI
A504,NEUROSÍFILIS CONGÉNITA TARDÍA [NEUROSÍFILIS JUVENIL],SI
A505,"OTRAS FORMAS DE SÍFILIS CONGÉNITA TARDÍA, SINTOMÁTICA",SI
A506,"SÍFILIS CONGÉNITA TARDÍA, LATENTE",SI
A507,"SÍFILIS CONGÉNITA TARDÍA, SIN OTRA ESPECIFICACIÓN",SI
A509,"SÍFILIS CONGÉNITA, SIN OTRA ESPECIFICACIÓN",SI
A51,SÍFILIS PRECOZ,NO
A510,SÍFILIS GENITAL PRIMARIA,NO
A511,SÍFILIS PRIMARIA ANAL,NO
A512,SÍFILIS PRIMARIA EN OTROS SITIOS,NO
A513,SÍFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS,NO
A514,OTRAS SÍFILIS SECUNDARIAS,NO
A515,"SÍFILIS PRECOZ, LATENTE",NO
A519,"SÍFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN",NO
A52,SÍFILIS TARDÍA,NO
A520,SÍFILIS CARDIOVASCULAR,NO
A521,NEUROSÍFILIS SINTOMÁTICA,NO
A522,NEUROSÍFILIS ASINTOMÁTICA,NO
A523,NEUROSÍFILIS NO ESPECIFICADA,NO
A527,OTRAS SÍFILIS TARDÍAS SINTOMÁTICAS,NO
A528,"SÍFILIS TARDÍA, LATENTE",NO
A529,"SÍFILIS TARDÍA, NO ESPECIFICADA",NO
A53,OTRAS SÍFILIS Y LAS NO ESPECIFICADAS,NO
A530,"SÍFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDÍA",NO
A539,"SÍFILIS, NO ESPECIFICADA",NO
A54,INFECCIÓN GONOCÓCICA,NO
A540,INFECCIÓN GONOCÓCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL Y DE GLÁNDULA ACCESORIA,NO
A541,INFECCIÓN GONOCÓCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLÁNDULAS ACCESORIAS,NO
A542,PELVIPERITONITIS GONOCÓCICA Y OTRAS INFECCIONES GONOCÓCICAS GENITOURINARIAS,NO
A543,INFECCIÓN GONOCÓCICA DEL OJO,NO
A544,INFECCIÓN GONOCÓCICA DEL SISTEMA OSTEOMUSCULAR,NO
A545,FARINGITIS GONOCÓCICA,NO
A546,INFECCIÓN GONOCÓCICA DEL ANO Y DEL RECTO,NO
A548,OTRAS INFECCIONES GONOCÓCICAS,NO
A549,"INFECCIÓN GONOCÓCICA, NO ESPECIFICADA",NO
A55X,LINFOGRANULOMA (VENÉREO) POR CLAMIDIAS,NO
A56,OTRAS ENFERMEDADES DE TRANSMISIÓN SEXUAL DEBIDAS A CLAMIDIAS,NO
A560,INFECCIÓN DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS,NO
A561,INFECCIÓN DEL PELVIPERITONEO Y OTROS ÓRGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS,NO
A562,"INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACIÓN",NO
A563,INFECCIÓN DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS,NO
A564,INFECCIÓN DE FARINGE DEBIDA A CLAMIDIAS,NO
A568,INFECCIÓN DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS,NO
A57X,CHANCRO BLANDO,NO
A58X,GRANULOMA INGUINAL,NO
A59,TRICOMONIASIS,NO
A590,TRICOMONIASIS UROGENITAL,NO
A598,TRICOMONIASIS DE OTROS SITOS,NO
A599,"TRICOMONIASIS, NO ESPECIFICADA",NO
A60,INFECCIÓN ANOGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE],NO
A600,INFECCIÓN DE GENITALES Y TRAYECTO UROGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE],NO
A601,INFECCIÓN DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE,NO
A609,"INFECCIÓN ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACIÓN",NO
A63,"OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, NO CLASIFICADAS EN OTRA PARTE",NO
A630,VERRUGAS (VENÉREAS) ANOGENITALES,NO
A638,"OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS",NO
A64X,ENFERMEDAD DE TRANSMISIÓN SEXUAL NO ESPECIFICADA,NO
A65X,SÍFILIS NO VENÉREA,NO
A66,FRAMBESIA,NO
A660,LESIONES INICIALES DE FRAMBESIA,NO
A661,LESIONES PAPILOMATOSAS MÚLTIPLES Y FRAMBESIA CON PASO DE CANGREJO,NO
A662,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA,NO
A663,HIPERQUERATOSIS DE FRAMBESIA,NO
A664,GOMA Y ÚLCERAS DE FRAMBESIA,NO
A665,GANGOSA,NO
A666,LESIONES FRAMBÉSICAS DE LOS HUESOS Y DE LAS ARTICULACIONES,NO
A667,OTRAS MANIFESTACIONES DE FRAMBESIA,NO
A668,FRAMBESIA LATENTE,NO
A669,"FRAMBESIA, NO ESPECIFICADA",NO
A67,PINTA [CARATE],NO
A670,LESIONES PRIMARIAS DE LA PINTA,NO
A671,LESIONES INTERMEDIAS DE LA PINTA,NO
A672,LESIONES TARDÍAS DE LA PINTA,NO
A673,LESIONES MIXTAS DE LA PINTA,NO
A679,"PINTA, NO ESPECIFICADA",NO
A68,FIEBRES RECURRENTES,NO
A680,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS,NO
A681,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS,NO
A689,"FIEBRE RECURRENTE, NO ESPECIFICADA",NO
A69,OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS,NO
A690,ESTOMATITIS ULCERATIVA NECROTIZANTE,NO
A691,OTRAS INFECCIONES DE VINCENT,NO
A692,ENFERMEDAD DE LYME,NO
A698,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS,NO
A699,"INFECCIÓN POR ESPIROQUETA, NO ESPECIFICADA",NO
A70X,INFECCION DEBIDA A CHLAMYDIA PSITTACI,NO
A71,TRACOMA,SI
A710,ESTADO INICIAL DE TRACOMA,SI
A711,ESTADO ACTIVO DE TRACOMA,SI
A719,"TRACOMA, NO ESPECIFICADO",SI
A74,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS,NO
A740,CONJUNTIVITIS POR CLAMIDIAS,NO
A748,OTRAS ENFERMEDADES POR CLAMIDIAS,NO
A749,"INFECCIÓN POR CLAMIDIAS, NO ESPECIFICADA",NO
A75,TIFUS,NO
A750,TIFUS EPIDÉMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS,SI
A751,TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL],NO
A752,TIFUS DEBIDO A RICKETTSIA TYPHI,SI
A753,TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI,NO
A759,"TIFUS, NO ESPECIFICADO",NO
A77,FIEBRE MACULOSA [RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS],NO
A770,FIEBRE MACULOSA DEBIDA A RICKETTSIA RICKETTSII,SI
A771,FIEBRE MACULOSA DEBIDA A RICKETTSIA CONORII,NO
A772,FIEBRE MACULOSA DEBIDA A RICKETTSIA SIBERICA,NO
A773,FIEBRE MACULOSA DEBIDA A RICKETTSIA AUSTRALIS,NO
A778,OTRAS FIEBRES MACULOSAS,NO
A779,"FIEBRE MACULOSA, NO ESPECIFICADA",NO
A78X,FIEBRE Q,NO
A79,OTRAS RICKETTSIOSIS,SI
A790,FIEBRE DE LAS TRINCHERAS,SI
A791,RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI,SI
A798,OTRAS RICKETTSIOSIS ESPECIFICADAS,SI
A799,"RICKETTSIOSIS, NO ESPECIFICADA",SI
A80,POLIOMIELITIS AGUDA,SI
A800,"POLIOMIELITIS AGUDA PARALÍTICA, ASOCIADA A VACUNA",SI
A801,POLIOMIELITIS AGUDA PARALÍTICA DEBIDA A VIRUS SALVAJE IMPORTADO,SI
A802,POLIOMIELITIS AGUDA PARALÍTICA DEBIDA A VIRUS SALVAJE AUTÓCTONO,SI
A803,OTRAS POLIOMIELITIS AGUDAS PARALÍTICAS Y LAS NO ESPECIFICADAS,SI
A804,POLIOMIELITIS AGUDA NO PARALÍTICA,SI
A809,"POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACIÓN",SI
A81,INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATÍPICO,NO
A810,ENFERMEDAD DE CREUTZFELDT-JAKOB,NO
A811,PANENCEFALITIS ESCLEROSANTE SUBAGUDA,NO
A812,LEUCOENCEFALOPATÍA MULTIFOCAL PROGRESIVA,NO
A818,OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATÍPICO,NO
